polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the composite asymmetric wind profile from Sromovsky et al. (2015, Icarus 258) Section 4.5 and Table 6.
the distribution of models in this file comes from Markov chain Monte Carlo fits to the pair of Voyager 2 radio occultations reported in Lindal et al. 1987.
index   r_pol_north_km   r_pol_south_km          r_eq_km              lnp
  420        24966.117        24960.744        25553.473       -5.409e-01
  421        24970.957        24965.581        25558.647       -1.033e-01
  422        24971.827        24966.449        25559.577       -2.515e-01
  423        24969.213        24963.837        25556.783       -1.443e-02
  424        24966.117        24960.744        25553.473       -5.409e-01
  425        24973.359        24967.980        25561.215       -6.806e-01
  426        24971.827        24966.449        25559.577       -2.515e-01
  427        24968.497        24963.122        25556.017       -5.841e-02
  428        24965.240        24959.868        25552.536       -8.491e-01
  429        24972.640        24967.261        25560.446       -4.525e-01
  430        24971.909        24966.532        25559.666       -2.692e-01
  431        24969.757        24964.381        25557.364       -1.235e-02
  432        24965.240        24959.868        25552.536       -8.491e-01
  433        24973.869        24968.490        25561.761       -8.712e-01
  434        24970.961        24965.584        25558.652       -1.039e-01
  435        24970.060        24964.685        25557.689       -2.295e-02
  436        24965.240        24959.868        25552.536       -8.491e-01
  437        24973.869        24968.490        25561.761       -8.712e-01
  438        24970.747        24965.371        25558.424       -7.802e-02
  439        24969.172        24963.797        25556.739       -1.568e-02
  440        24963.847        24958.477        25551.047       -1.483e+00
  441        24973.348        24967.969        25561.204       -6.769e-01
  442        24970.485        24965.109        25558.143       -5.185e-02
  443        24969.791        24964.415        25557.401       -1.312e-02
  444        24963.847        24958.477        25551.047       -1.483e+00
  445        24973.348        24967.969        25561.204       -6.769e-01
  446        24970.485        24965.108        25558.143       -5.187e-02
  447        24970.483        24965.107        25558.141       -5.173e-02
  448        24963.272        24957.903        25550.432       -1.797e+00
  449        24973.348        24967.969        25561.204       -6.769e-01
  450        24969.709        24964.334        25557.314       -1.146e-02
  451        24970.996        24965.619        25558.689       -1.085e-01
  452        24963.272        24957.903        25550.432       -1.797e+00
  453        24973.348        24967.969        25561.204       -6.769e-01
  454        24968.308        24962.933        25555.815       -7.780e-02
  455        24971.923        24966.546        25559.681       -2.723e-01
  456        24962.435        24957.065        25549.537       -2.307e+00
  457        24970.531        24965.155        25558.193       -5.603e-02
  458        24967.794        24962.419        25555.266       -1.471e-01
  459        24970.804        24965.427        25558.483       -8.436e-02
  460        24962.435        24957.065        25549.537       -2.307e+00
  461        24970.531        24965.155        25558.193       -5.603e-02
  462        24967.794        24962.419        25555.266       -1.471e-01
  463        24970.908        24965.532        25558.595       -9.709e-02
  464        24965.367        24959.995        25552.671       -8.003e-01
  465        24971.348        24965.971        25559.065       -1.614e-01
  466        24968.631        24963.257        25556.161       -4.655e-02
  467        24968.506        24963.132        25556.027       -5.751e-02
  468        24967.290        24961.917        25554.728       -2.384e-01
  469        24971.348        24965.971        25559.065       -1.614e-01
  470        24967.340        24961.966        25554.781       -2.283e-01
  471        24966.010        24960.638        25553.359       -5.747e-01
  472        24967.303        24961.930        25554.741       -2.359e-01
  473        24971.916        24966.539        25559.673       -2.707e-01
  474        24967.888        24962.514        25555.366       -1.326e-01
  475        24963.344        24957.973        25550.509       -1.756e+00
  476        24967.303        24961.930        25554.741       -2.359e-01
  477        24971.916        24966.539        25559.673       -2.707e-01
  478        24967.650        24962.277        25555.113       -1.707e-01
  479        24963.344        24957.973        25550.509       -1.756e+00
  480        24967.303        24961.930        25554.741       -2.359e-01
  481        24967.982        24962.607        25555.466       -1.191e-01
  482        24967.599        24962.225        25555.058       -1.796e-01
  483        24964.879        24959.508        25552.150       -9.966e-01
  484        24967.153        24961.779        25554.581       -2.673e-01
  485        24967.982        24962.607        25555.466       -1.191e-01
  486        24967.619        24962.245        25555.079       -1.761e-01
  487        24963.282        24957.912        25550.443       -1.791e+00
  488        24967.156        24961.790        25554.584       -2.667e-01
  489        24971.252        24965.875        25558.963       -1.459e-01
  490        24967.401        24962.027        25554.845       -2.164e-01
  491        24961.858        24956.489        25548.921       -2.696e+00
  492        24966.565        24961.192        25553.953       -4.105e-01
