polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation 2.
the distribution of models in this file comes from Markov chain Monte Carlo fits to the pair of Voyager 2 radio occultations reported in Lindal et al. 1987.
index         r_pol_km          r_eq_km              lnp 
  587        24971.184        25560.055       -3.545e-01
  588        24973.346        25562.367       -1.111e+00
  589        24967.070        25555.657       -9.526e-02
  590        24971.056        25559.918       -3.232e-01
  591        24971.184        25560.055       -3.545e-01
  592        24973.346        25562.367       -1.111e+00
  593        24967.070        25555.657       -9.526e-02
  594        24971.056        25559.918       -3.232e-01
  595        24971.162        25560.031       -3.491e-01
  596        24972.857        25561.844       -9.026e-01
  597        24967.070        25555.657       -9.526e-02
  598        24970.679        25559.515       -2.395e-01
  599        24972.157        25561.096       -6.422e-01
  600        24972.034        25560.964       -6.009e-01
  601        24968.343        25557.017       -1.032e-02
  602        24969.898        25558.679       -1.073e-01
  603        24972.157        25561.096       -6.422e-01
  604        24971.438        25560.326       -4.213e-01
  605        24969.909        25558.692       -1.089e-01
  606        24969.895        25558.677       -1.070e-01
  607        24972.588        25561.556       -7.971e-01
  608        24971.967        25560.892       -5.791e-01
  609        24970.346        25559.159       -1.763e-01
  610        24968.618        25557.311       -1.140e-02
  611        24972.588        25561.556       -7.971e-01
  612        24971.666        25560.570       -4.863e-01
  613        24970.925        25559.778       -2.927e-01
  614        24968.893        25557.605       -1.941e-02
  615        24971.436        25560.325       -4.209e-01
