shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.244781 -3.599057 -0.117234  0.852378  0.289859 -0.249673 -0.272671 -0.021675  0.086471  0.036530
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -0.9959183673     1.4804147767    84.8215186329    85.0843891762     0.0045879565     0.0001217295 24973.4359907012
   -0.9938775510     1.4600831244    83.6566007642    83.9776805832     0.0056039000     0.0001216914 24976.0239906773
   -0.9918367347     1.4429339318    82.6740244067    83.0437571200     0.0064530532     0.0001216502 24978.6065475152
   -0.9897959184     1.4278174270    81.8079124837    82.2201362536     0.0071946620     0.0001216068 24981.1835514178
   -0.9877551020     1.4141440401    81.0244851196    81.4747859403     0.0078592319     0.0001215619 24983.7549374658
   -0.9857142857     1.4015635991    80.3036789465    80.7886855380     0.0084649619     0.0001215160 24986.3206733974
   -0.9836734694     1.3898479862    79.6324237728    80.1494480128     0.0090237753     0.0001214699 24988.8807412087
   -0.9816326531     1.3788387766    79.0016425268    79.5484738998     0.0095440079     0.0001214240 24991.4351311574
   -0.9795918367     1.3684206412    78.4047273409    78.9795047830     0.0100317588     0.0001213789 24993.9838627772
   -0.9775510204     1.3585065303    77.8366906282    78.4378192047     0.0104916729     0.0001213348 24996.5269548341
   -0.9755102041     1.3490288258    77.2936581616    77.9197508781     0.0109273793     0.0001212923 24999.0644441948
   -0.9734693878     1.3399337634    76.7725494708    77.4223859312     0.0113417858     0.0001212514 25001.5963859642
   -0.9714285714     1.3311777582    76.2708673246    76.9433631087     0.0117372656     0.0001212126 25004.1228455566
   -0.9693877551     1.3227248956    75.7865539757    76.4807373798     0.0121157860     0.0001211760 25006.6438938313
   -0.9673469388     1.3145451659    75.3178899826    76.0328845729     0.0124790097     0.0001211418 25009.1596040537
   -0.9653061224     1.3066131882    74.8634211408    75.5984304209     0.0128283320     0.0001211101 25011.6700499800
   -0.9632653061     1.2989072697    74.4219045316    75.1762020266     0.0131649748     0.0001210810 25014.1753057733
   -0.9612244898     1.2914086960    73.9922679079    74.7651860469     0.0134899664     0.0001210545 25016.6754557188
   -0.9591836735     1.2841011890    73.5735785965    74.3645031465     0.0138042375     0.0001210308 25019.1705886686
   -0.9571428571     1.2769704845    73.1650193268    73.9733811367     0.0141085751     0.0001210098 25021.6607910502
   -0.9551020408     1.2700040004    72.7658691871    73.5911392723     0.0144036802     0.0001209914 25024.1461465764
   -0.9530612245     1.2631905710    72.3754884407    73.2171736209     0.0146901777     0.0001209756 25026.6267361372
   -0.9510204082     1.2565202341    71.9933062850    72.8509454115     0.0149686266     0.0001209625 25029.1026377698
   -0.9489795918     1.2499840563    71.6188108859    72.4919712242     0.0152395228     0.0001209518 25031.5739266827
   -0.9469387755     1.2435739909    71.2515411916    72.1398148253     0.0155032996     0.0001209436 25034.0406753142
   -0.9448979592     1.2372827589    70.8910801509    71.7940817912     0.0157603518     0.0001209376 25036.5029534127
   -0.9428571429     1.2311037506    70.5370490537    71.4544136924     0.0160110334     0.0001209338 25038.9608281311
   -0.9408163265     1.2250309424    70.1891027733    71.1204836049     0.0162556621     0.0001209320 25041.4143641288
   -0.9387755102     1.2190588266    69.8469257429    70.7919925557     0.0164945275     0.0001209322 25043.8636212650
   -0.9367346939     1.2131823517    69.5102285299    70.4686661170     0.0167278916     0.0001209341 25046.3086463885
   -0.9346938776     1.2073968710    69.1787449051    70.1502508869     0.0169559781     0.0001209375 25048.7494908761
   -0.9326530612     1.2016980990    68.8522293213    69.8365132189     0.0171789948     0.0001209424 25051.1861988528
   -0.9306122449     1.1960820730    68.5304547326    69.5272368136     0.0173971292     0.0001209484 25053.6188062499
   -0.9285714286     1.1905451201    68.2132107017    69.2222209613     0.0176105512     0.0001209556 25056.0473418072
   -0.9265306122     1.1850838286    67.9003017483    68.9212798280     0.0178194291     0.0001209636 25058.4718279360
   -0.9244897959     1.1796950225    67.5915459031    68.6242384956     0.0180238859     0.0001209724 25060.8922814629
   -0.9224489796     1.1743757395    67.2867734365    68.3309342936     0.0182240449     0.0001209817 25063.3087142751
   -0.9204081633     1.1691232113    66.9858257369    68.0412154441     0.0184200253     0.0001209914 25065.7211338809
   -0.9183673469     1.1639348463    66.6885543185    67.7549391410     0.0186119262     0.0001210012 25068.1295438992
   -0.9163265306     1.1588082142    66.3948199388    67.4719712112     0.0187998362     0.0001210111 25070.5339440982
   -0.9142857143     1.1537410325    66.1044918138    67.1921856670     0.0189838390     0.0001210208 25072.9343213614
   -0.9122448980     1.1487311539    65.8174469161    66.9154635942     0.0191640063     0.0001210301 25075.3306615547
